,min_color,max_color,mean_color,median_color
145,4,255,62.00418024818437,19.0
146,12,89,30.902374947456913,29.0
147,13,89,27.67549019607843,26.0
148,5,255,26.35812074829932,10.0
149,14,84,29.328267722900332,28.0
150,13,128,32.38858695652174,30.0
151,5,255,64.1984539969834,18.0
152,14,238,83.58491641337386,76.0
153,19,255,79.90807498197549,66.0
154,27,207,96.34924924924925,92.0
155,20,255,93.09936170212767,76.0
156,14,235,67.64156920077973,58.0
157,27,174,73.18833017077799,68.0
158,10,39,17.991596638655462,17.0
159,5,80,12.749815588886158,11.0
160,5,255,63.239670781893004,14.0
161,13,255,92.94812164579606,71.0
162,6,27,13.391011235955057,13.0
163,6,31,12.8632134774956,12.0
164,6,37,12.60676532769556,12.0
165,6,39,13.03648275862069,12.0
166,11,127,34.58469945355191,31.0
167,6,39,13.681480137855976,13.0
168,11,29,16.768158783783782,17.0
169,26,140,62.14052287581699,59.0
170,6,98,21.998008355192848,19.0
171,18,255,83.0082333568572,69.0
172,16,255,75.43180827886711,62.0
173,11,25,16.76378772112383,17.0
174,11,25,17.103565365025467,17.0
175,4,255,61.2108216848811,17.0
176,8,21,13.119736842105263,13.0
177,34,122,62.17506361323155,60.0
178,16,52,28.991515151515152,28.0
179,6,88,23.626316072195962,21.0
180,18,255,93.78226634714139,66.0
181,10,23,15.835353535353535,16.0
182,11,24,16.520474137931036,16.0
183,14,41,24.93754565376187,24.0
184,9,28,17.17830313742819,17.0
185,8,23,14.877742946708464,15.0
186,9,22,15.01547987616099,15.0
187,13,31,19.69208211143695,19.0
188,9,67,19.73713439466864,18.0
189,7,193,45.45552648790059,35.0
190,5,25,12.981283422459892,13.0
191,3,21,8.922058823529412,9.0
192,8,79,30.529761904761905,29.0
193,4,20,11.588669950738916,11.0
194,8,164,43.840425531914896,39.0
195,9,35,17.541128681270855,17.0
196,17,106,43.06818181818182,40.0
197,19,142,56.207719298245614,51.0
198,7,26,14.618589743589743,14.0
199,31,255,106.32729750778816,95.0
200,63,255,139.9923076923077,126.0
201,78,255,222.90023894862605,255.0
202,26,255,162.66326148078724,154.0
203,9,55,18.397403651115617,18.0
204,10,92,18.01298701298701,17.0
205,40,255,219.48684210526315,255.0
206,12,33,20.04224537037037,20.0
207,19,52,34.505582137161085,34.0
208,40,194,97.72115384615384,96.0
209,22,163,66.47788461538461,61.0
210,9,38,19.682357301704968,19.0
211,11,25,17.638709677419357,17.0
212,11,66,21.374391534391535,20.0
213,21,255,101.93681318681318,97.0
214,11,67,27.150344827586206,26.0
215,5,255,50.18675391631965,16.0
216,5,88,21.731666666666666,19.0
217,19,255,87.08248546511628,71.0
218,7,39,15.567398119122258,15.0
219,8,255,59.11783458646617,49.0
